grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
تجزیه‌طلبانه,"('t', 'a', 'j', 'z', 'i', 'y', 'e', 't', 'a', 'l', 'a', 'b', 'A', 'n', 'e')",تَجزیِه‌طَلَبانِه,,,,,False,,
قاید,"('q', 'A', 'y', 'e', 'd')",قایِد,,,,,False,,
خوارزمشاه,"('x', 'A', 'r', 'a', 'z', 'm', 'S', 'A', 'h')",خوارَزمشاه,,1,,,False,,
والدین,"('v', 'A', 'l', 'e', 'd', 'i', 'n')",والِدین,,,,,False,,
کاجها,"('k', 'A', 'j', 'h', 'A')",کاجها,,,,,False,,
مزدور,"('m', 'o', 'z', 'd', 'u', 'r')",مُزدور,,,,,False,,
زلف,"('z', 'o', 'l', 'f')",زُلف,,,,,False,,
تخصیص,"('t', 'a', 'x', 's', 'i', 's')",تَخصیص,,,,,False,,
یوسف‌نیا,"('y', 'u', 's', 'e', 'f', 'n', 'i', 'y', 'A')",یوسِف‌نیا,,,8,,False,,
ملودرام,"('m', 'e', 'l', 'o', 'd', 'e', 'r', 'A', 'm')",مِلودِرام,2,,,,False,,
ظریف,"('z', 'a', 'r', 'i', 'f')",ظَریف,,,,,False,,
پ,"('p', 'e')",پِ,,,,,False,,
آدم‌سازی,"('?', 'A', 'd', 'a', 'm', 's', 'A', 'z', 'i')",آدَم‌سازی,,,,,False,,
النگ,"('?', 'a', 'l', 'a', 'n', 'g')",اَلَنگ,,,,,False,,
قبالجات,"('q', 'a', 'b', 'A', 'l', 'e', 'j', 'A', 't')",قَبالِجات,,,,,False,,
تریتیم,"('t', 'i', 'r', 'i', 't', 'i', 'y', 'o', 'm')",تِریتیُم,,,,,False,,
هنرباوری,"('h', 'o', 'n', 'a', 'r', 'b', 'A', 'v', 'a', 'r', 'i')",هُنَرباوَری,,,,,False,,
ماهرخ,"('m', 'A', 'h', 'r', 'o', 'x')",ماهرُخ,,,,,False,,
کارواش,"('k', 'A', 'r', 'v', 'A', 'S')",کارواش,,,,,False,,
شمسایی,"('S', 'a', 'm', 's', 'A', 'y', 'i')",شَمسایی,,,,,False,,
چکش‌خورده,"('C', 'a', 'k', 'k', 'o', 'S', 'x', 'o', 'r', 'd', 'e')",چَکُّش‌خوردِه,,,,,False,,
تفلون,"('t', 'e', 'f', 'l', 'o', 'n')",تِفلون,3,,,,False,,
اروپایی,"('?', 'o', 'r', 'u', 'p', 'A', 'y', 'i')",اُروپایی,,,,,False,,
آپلیکاتور,"('?', 'A', 'p', 'l', 'i', 'k', 'A', 't', 'o', 'r')",آپلیکاتور,7,,,,False,,
یک‌قلوزایی,"('y', 'e', 'k', 'q', 'u', 'l', 'u', 'z', 'A', 'y', 'i')",یِک‌قُلوزایی,,,,,False,,
زعفرانی,"('z', 'a', '?', 'f', 'e', 'r', 'A', 'n', 'i')",زَعفِرانی,,,,,False,,
نازنازی,"('n', 'A', 'z', 'n', 'A', 'z', 'i')",نازنازی,,,,,False,,
سی‌وسه‌پل,"('s', 'i', 'y', 'o', 's', 'e', 'p', 'o', 'l')",سی‌وسِه‌پُل,3,,,,False,,
