grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
جگرک,"('j', 'e', 'g', 'a', 'r', 'a', 'k')",جِگَرَک,,,,,False,,
اتم‌شکن,"('?', 'a', 't', 'o', 'm', 'S', 'e', 'k', 'a', 'n')",اَتُم‌شِکَن,,,,,False,,
ثقلین,"('s', 'a', 'q', 'a', 'l', 'e', 'y', 'n')",ثَقَلِین,,,,,False,,
شخصیت‌‌سازی,"('S', 'a', 'x', 's', 'i', 'y', 'y', 'a', 't', 's', 'A', 'z', 'i')",شَخصیَّت‌‌سازی,,,10,,False,,
عین‌‌الدوله,"('?', 'e', 'y', 'n', 'o', 'd', 'd', 'o', 'l', 'e')",عِین‌‌اُلدُّولِه,,,,,False,,
پروپاگاندچی,"('p', 'o', 'r', 'o', 'p', 'A', 'g', 'A', 'n', 'd', 'C', 'i')",پُروپاگاندچی,2,,,,False,,
گلاسنوست,"('g', 'e', 'l', 'A', 's', 'n', 'o', 's', 't')",گِلاسنوست,5,,,,False,,
بحریه,"('b', 'a', 'h', 'r', 'i', 'y', 'y', 'e')",بَحریِّه,,,,,False,,
افراط‌گر,"('?', 'e', 'f', 'r', 'A', 't', 'g', 'a', 'r')",اِفراط‌گَر,,,,,False,,
آب‌نشین,"('?', 'A', 'b', 'n', 'e', 'S', 'i', 'n')",آب‌نِشین,,,,,False,,
پنددهنده,"('p', 'a', 'n', 'd', 'd', 'a', 'h', 'a', 'n', 'd', 'e')",پَندَدَهنِده,,,,,False,,
مجمع‌الشعرا,"('m', 'a', 'j', 'm', 'a', '?', 'o', 'S', 'S', 'o', '?', 'a', 'r', 'A')",مَجمَع‌اُلشُّعَرا,,,13,9,False,,
ماموم,"('m', 'a', '?', 'm', 'u', 'm')",مَاموم,,,,,False,,
اجتناب‌پذیر,"('?', 'e', 'j', 't', 'e', 'n', 'A', 'b', 'p', 'a', 'z', 'i', 'r')",اِجتِناب‌پَذیر,,,,,False,,
الکتروپمپ,"('?', 'e', 'l', 'e', 'k', 't', 'e', 'r', 'o', 'p', 'o', 'm', 'p')",اِلِکتِروپُمپ,5,,,,False,,
ورم,"('v', 'a', 'r', 'a', 'm')",وَرَم,,,,,False,,
کامروائی,"('k', 'A', 'm', 'r', 'a', 'v', 'A', '?', 'i')",کامرَوائی,,,,,False,,
کمپوزیسیون,"('k', 'o', 'm', 'p', 'o', 'z', 'i', 's', 'y', 'o', 'n')",کُمپوزیسیون,3,,,,False,,
عبدالله‌‌بن‌‌عامر,"('?', 'a', 'b', 'd', 'o', 'l', 'l', 'A', 'h', 'e', 'b', 'n', 'e', '?', 'A', 'm', 'e', 'r')",عَبداُللّهِ‌‌بنِ‌‌عاَمِر,,,"7,14","5,13",False,,
روح‌بخش,"('r', 'u', 'h', 'b', 'a', 'x', 'S')",روح‌بَخش,,,,,False,,
پیواژه,"('p', 'e', 'y', 'v', 'A', 'Z', 'e')",پِیواژِه,,,,,False,,
عدسی,"('?', 'a', 'd', 'a', 's', 'i')",عَدَسی,,,,,False,,
شش‌‌متری,"('S', 'e', 'S', 'm', 'e', 't', 'r', 'i')",شِش‌‌مِتری,,,,,False,,
ارشیا,"('?', 'a', 'r', 'S', 'i', 'y', 'A')",اَرشیا,,,6,,False,,
شیربان,"('S', 'i', 'r', 'b', 'A', 'n')",شیربان,,,,,False,,
ناصرزاده,"('n', 'A', 's', 'e', 'r', 'z', 'A', 'd', 'e')",ناصِرزادِه,,,,,False,,
خش‌دار,"('x', 'a', 'S', 'd', 'A', 'r')",خَش‌دار,,,,,False,,
پالانید,"('p', 'A', 'l', 'A', 'n', 'i', 'd')",پالانید,,,,,False,,
خوکچه,"('x', 'u', 'k', 'C', 'e')",خوکچِه,,,,,False,,
انشایی,"('?', 'e', 'n', 'S', 'A', 'y', 'i')",اِنشایی,,,,,False,,
ظاهرپسند,"('z', 'A', 'h', 'e', 'r', 'p', 'a', 's', 'a', 'n', 'd')",ظاهِرپَسَند,,,,,False,,
زر‌و‌زیور,"('z', 'a', 'r', 'o', 'z', 'i', 'v', 'a', 'r')",زَر‌و‌زیوَر,3,,,,False,,
چابکسر,"('C', 'A', 'b', 'o', 'k', 's', 'a', 'r')",چابُکسَر,,,,,False,,
لام,"('l', 'A', 'm')",لام,,,,,False,,
مهرویلا,"('m', 'e', 'h', 'r', 'v', 'i', 'l', 'A')",مِهرویلا,,,,,False,,
سیر‌‌و‌‌سلوک,"('s', 'e', 'y', 'r', 'o', 's', 'u', 'l', 'u', 'k')",سِیر‌‌و‌‌سُلوک,5,,,,False,,
انگورپزان,"('?', 'a', 'n', 'g', 'u', 'r', 'p', 'a', 'z', 'A', 'n')",اَنگورپَزان,,,,,False,,
میلی‌لیتری,"('m', 'i', 'l', 'i', 'l', 'i', 't', 'r', 'i')",میلی‌لیتری,,,,,False,,
آمیلوپکتین,"('?', 'A', 'm', 'i', 'l', 'o', 'p', 'e', 'k', 't', 'i', 'n')",آمیلوپِکتین,4,,,,False,,
مایه‌خواری,"('m', 'A', 'y', 'e', 'x', 'A', 'r', 'i')",مایِه‌خواری,,,5,5,False,,
دین‌باوری,"('d', 'i', 'n', 'b', 'A', 'v', 'a', 'r', 'i')",دین‌باوَری,,,,,False,,
پرداختکار,"('p', 'a', 'r', 'd', 'A', 'x', 't', 'k', 'A', 'r')",پَرداختکار,,,,,False,,
وجود‌گرایی,"('v', 'o', 'j', 'u', 'd', 'g', 'e', 'r', 'A', 'y', 'i')",وُجود‌گِرایی,,,,,False,,
فرا‌‌ساختاری,"('f', 'a', 'r', 'A', 's', 'A', 'x', 't', 'A', 'r', 'i')",فَرا‌‌ساختاری,,,,,False,,
رزم‌آوری,"('r', 'a', 'z', 'm', 'A', 'v', 'a', 'r', 'i')",رَزم‌آوَری,,,,,False,,
همنفس,"('h', 'a', 'm', 'n', 'a', 'f', 'a', 's')",هَمنَفَس,,,,,False,,
فشفشه,"('f', 'e', 'S', 'f', 'e', 'S', 'e')",فِشفِشِه,,,,,False,,
نفاذ,"('n', 'e', 'f', 'A', 'z')",نِفاذ,,,,,False,,
تشییع‌جنازه,"('t', 'a', 'S', 'y', 'i', '?', 'j', 'e', 'n', 'A', 'z', 'e')",تَشییع‌جِنازِه,,,,,False,,
رشد,"('r', 'o', 'S', 'd')",رُشد,,,,,False,,
نامهربان,"('n', 'A', 'm', 'e', 'h', 'r', 'a', 'b', 'A', 'n')",نامِهرَبان,,,,,False,,
هندی,"('h', 'e', 'n', 'd', 'i')",هِندی,,,,,False,,
حمله‌ور,"('h', 'a', 'm', 'l', 'e', 'v', 'a', 'r')",حَملِه‌وَر,,,,,False,,
اطراف‌واکناف,"('?', 'a', 't', 'r', 'A', 'f', 'o', '?', 'a', 'k', 'n', 'A', 'f')",اَطراف‌واَکناف,6,,,,False,,
برداشت‌نشده,"('b', 'a', 'r', 'd', 'A', 'S', 't', 'n', 'a', 'S', 'o', 'd', 'e')",بَرداشت‌نَشُدِه,,,,,False,,
بهیچوجه,"('b', 'e', 'h', 'i', 'C', 'v', 'a', 'j', 'h')",بِهیچوَجه,,,,,False,,
مرسله,"('m', 'a', 'r', 's', 'a', 'l', 'e')",مَرسَلِه,,,,,False,,
پانکی,"('p', 'A', 'n', 'k', 'i')",پانکی,,,,,False,,
ضروریت,"('z', 'a', 'r', 'u', 'r', 'i', 'y', 'y', 'a', 't')",ضَروریَّت,,,,,False,,
رزان,"('r', 'a', 'z', 'A', 'n')",رَزان,,,,,False,,
آنچه,"('?', 'A', 'n', 'C', 'e')",آنچِه,,,,,False,,
آسیا,"('?', 'A', 's', 'i', 'y', 'A')",آسیا,,,5,,False,,
آتشین‌خو,"('?', 'A', 't', 'a', 'S', 'i', 'n', 'x', 'u')",آتَشین‌خو,,,,,False,,
بی‌انباز,"('b', 'i', '?', 'a', 'n', 'b', 'A', 'z')",بی‌اَنباز,,,,,False,,
نصرت‌الدوله,"('n', 'o', 's', 'r', 'a', 't', 'o', 'd', 'd', 'o', 'l', 'e')",نُصرَت‌اُلدُّولِه,,,,,False,,
تجزیه‌طلبی,"('t', 'a', 'j', 'z', 'i', 'y', 'e', 't', 'a', 'l', 'a', 'b', 'i')",تَجزیِه‌طَلَبی,,,,,False,,
بخوبی,"('b', 'e', 'x', 'u', 'b', 'i')",بِخوبی,,,,,False,,
یهودی‌تبار,"('y', 'a', 'h', 'u', 'd', 'i', 't', 'a', 'b', 'A', 'r')",یَهودی‌تَبار,,,,,False,,
زیبا,"('z', 'i', 'b', 'A')",زیبا,,,,,False,,
ناهمسازی,"('n', 'A', 'h', 'a', 'm', 's', 'A', 'z', 'i')",ناهَمسازی,,,,,False,,
به‌هرحال,"('b', 'e', 'h', 'a', 'r', 'h', 'A', 'l')",بِه‌هَرحال,,,6,5,False,,
آب,"('?', 'A', 'b')",آب,,,,,False,,
صداگذار,"('s', 'e', 'd', 'A', 'g', 'o', 'z', 'A', 'r')",صِداگُذار,,,,,False,,
ونزوئلا,"('v', 'e', 'n', 'e', 'z', 'u', '?', 'e', 'l', 'A')",وِنِزوئِلا,,,,,False,,
نعمان,"('n', 'o', '?', 'm', 'A', 'n')",نُعمان,,,,,False,,
توهم,"('t', 'a', 'v', 'a', 'h', 'h', 'o', 'm')",تَوَهُّم,,,,,False,,
تفصیلی,"('t', 'a', 'f', 's', 'i', 'l', 'i')",تَفصیلی,,,,,False,,
تاکسیدرمی‌شده,"('t', 'A', 'k', 's', 'i', 'd', 'e', 'r', 'm', 'i', 'S', 'o', 'd', 'e')",تاکسیدِرمی‌شُدِه,,,,,False,,
تحسین,"('t', 'a', 'h', 's', 'i', 'n')",تَحسین,,,,,False,,
آغار,"('?', 'A', 'q', 'A', 'r')",آغار,,,,,False,,
معدن‌کاری,"('m', 'a', '?', 'd', 'a', 'n', 'k', 'A', 'r', 'i')",مَعدَن‌کاری,,,,,False,,
آندوسپور,"('?', 'A', 'n', 'd', 'o', 's', 'p', 'o', 'r')",آندوسپور,6,,,,False,,
فرهنگسراسازی,"('f', 'a', 'r', 'h', 'a', 'n', 'g', 's', 'a', 'r', 'A', 's', 'A', 'z', 'i')",فَرهَنگسَراسازی,,,,,False,,
دیمی,"('d', 'e', 'y', 'm', 'i')",دِیمی,,,,,False,,
پژوهشگری,"('p', 'a', 'Z', 'u', 'h', 'e', 'S', 'g', 'a', 'r', 'i')",پَژوهِشگَری,,,,,False,,
بوستر,"('b', 'u', 's', 't', 'e', 'r')",بوستِر,,,,,False,,
درونزاد,"('d', 'a', 'r', 'u', 'n', 'z', 'A', 'd')",دَرونزاد,,,,,False,,
نصیحهالملوک,"('n', 'a', 's', 'i', 'h', 'a', 't', 'o', 'l', 'm', 'o', 'l', 'u', 'k')",نَصیحَهاُلمُلوک,,,,,False,,
نهار,"('n', 'A', 'h', 'A', 'r')",نهار,,,1,1,False,,
حوادث,"('h', 'a', 'v', 'A', 'd', 'e', 's')",حَوادِث,,,,,False,,
مضاربه‌ای,"('m', 'o', 'z', 'A', 'r', 'e', 'b', 'e', '?', 'i')",مُضارِبِه‌ای,,,,,False,,
بازپسین,"('b', 'A', 'z', 'p', 'a', 's', 'i', 'n')",بازپَسین,,,,,False,,
قانع‌کننده,"('q', 'A', 'n', 'e', '?', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",قانِع‌کُنَندِه,,,,,False,,
اضافه‌هزینه,"('?', 'e', 'z', 'A', 'f', 'e', 'h', 'a', 'z', 'i', 'n', 'e')",اِضافِه‌هَزینِه,,,,,False,,
روابط‌عمومی,"('r', 'a', 'v', 'A', 'b', 'e', 't', '?', 'o', 'm', 'o', 'm', 'i')",رَوابِط‌عُمومی,8,,,,False,,
بقراط,"('b', 'o', 'q', 'r', 'A', 't')",بُقراط,,,,,False,,
املانویسی,"('?', 'e', 'm', 'l', 'A', 'n', 'e', 'v', 'i', 's', 'i')",اِملانِویسی,,,,,False,,
قوری,"('q', 'u', 'r', 'i')",قوری,,,,,False,,
نگارگری,"('n', 'e', 'g', 'A', 'r', 'g', 'a', 'r', 'i')",نِگارگَری,,,,,False,,
تنبک‌زن,"('t', 'o', 'n', 'b', 'a', 'k', 'z', 'a', 'n')",تُنبَک‌زَن,,,,,False,,
دیدور,"('d', 'i', 'd', 'e', 'v', 'a', 'r')",دیدِوَر,,,,,False,,
تحول‌خیز,"('t', 'a', 'h', 'a', 'v', 'v', 'o', 'l', 'x', 'i', 'z')",تَحَوُّل‌خیز,,,,,False,,
پیزوالکتریسیته,"('p', 'i', 'z', 'o', '?', 'e', 'l', 'e', 'k', 't', 'e', 'r', 'i', 's', 'i', 't', 'e')",پیزواِلِکتِریسیتِه,,,,,False,,
نقده,"('n', 'a', 'q', 'a', 'd', 'e')",نَقَدِه,,,,,False,,
انژیوگرافی,"('?', 'a', 'n', 'Z', 'i', 'y', 'o', 'g', 'e', 'r', 'A', 'f', 'i')",اَنژیوگِرافی,4,,,,False,,
دوده,"('d', 'u', 'd', 'e')",دودِه,,,,,False,,
قلیه,"('q', 'a', 'l', 'i', 'y', 'e')",قَلیِه,,,,,False,,
بیوسفر,"('b', 'i', 'y', 'o', 's', 'f', 'e', 'r')",بیوسفِر,2,,,,False,,
آزمندی,"('?', 'A', 'z', 'm', 'a', 'n', 'd', 'i')",آزمَندی,,,,,False,,
به‌سلامت,"('b', 'e', 's', 'a', 'l', 'A', 'm', 'a', 't')",بِه‌سَلامَت,,,5,4,False,,
قومیت,"('q', 'o', 'm', 'i', 'y', 'y', 'a', 't')",قومیَّت,1,,,,False,,
گود,"('g', 'o', 'u', 'd')",گُود,1,,,,False,,
پانته‌آ,"('p', 'A', 'n', 't', 'e', '?', 'A')",پانتِه‌آ,,,,,False,,
دین‌پرور,"('d', 'i', 'n', 'p', 'a', 'r', 'v', 'a', 'r')",دین‌پَروَر,,,,,False,,
اندا,"('?', 'a', 'n', 'd', 'A')",اَندا,,,,,False,,
منقطع,"('m', 'o', 'n', 'q', 'a', 't', 'e', '?')",مُنقَطِع,,,,,False,,
بربند,"('b', 'a', 'r', 'b', 'a', 'n', 'd')",بَربَند,,,,,False,,
شیرین‌‌گفتار,"('S', 'i', 'r', 'i', 'n', 'g', 'o', 'f', 't', 'A', 'r')",شیرین‌‌گُفتار,,,,,False,,
بنی‌احمدی,"('b', 'a', 'n', 'i', '?', 'a', 'h', 'm', 'a', 'd', 'i')",بَنی‌اَحمَدی,,,,,False,,
اصلانیان,"('?', 'a', 's', 'l', 'A', 'n', 'i', 'y', 'A', 'n')",اَصلانیان,,,8,7,False,,
روح,"('r', 'u', 'h')",روح,,,,,False,,
پشت‌پرده,"('p', 'o', 'S', 't', 'e', 'p', 'a', 'r', 'd', 'e')",پُشتِ‌پَردِه,,,,,False,,
کهنسال,"('k', 'o', 'h', 'a', 'n', 's', 'A', 'l')",کُهَنسال,,,,,False,,
رخداد,"('r', 'o', 'x', 'd', 'A', 'd')",رُخداد,,,,,False,,
وامپیر,"('v', 'A', 'm', 'p', 'i', 'r')",وامپیر,,,,,False,,
صدآفرین,"('s', 'a', 'd', 'A', 'f', 'a', 'r', 'i', 'n')",صَدآفَرین,,,,,False,,
سبک‌دار,"('s', 'a', 'b', 'k', 'd', 'A', 'r')",سَبک‌دار,,,,,False,,
گزینش‌شده,"('g', 'o', 'z', 'i', 'n', 'e', 'S', 'S', 'o', 'd', 'e')",گُزینِشُ‌شِده,,,,,False,,
حسابگری,"('h', 'e', 's', 'A', 'b', 'g', 'a', 'r', 'i')",حِسابگَری,,,,,False,,
میرعرب,"('m', 'i', 'r', '?', 'a', 'r', 'a', 'b')",میرعَرَب,,,,,False,,
جدوآباد,"('j', 'a', 'd', 'd', 'o', '?', 'A', 'b', 'A', 'd')",جَدُّوآباد,,,,,False,,
کلی‌‌گویی,"('k', 'o', 'l', 'l', 'i', 'g', 'u', 'y', 'i')",کُلّی‌‌گویی,,,,,False,,
دیه,"('d', 'i', 'y', 'e')",دیِه,,,,,False,,
پسرخاله,"('p', 'e', 's', 'a', 'r', 'x', 'A', 'l', 'e')",پِسَرخالِه,,,,,False,,
پاییزه,"('p', 'A', 'y', 'i', 'z', 'e')",پاییزِه,,,,,False,,
صرفید,"('s', 'a', 'r', 'f', 'i', 'd')",صَرفید,,,,,False,,
نامعادلات,"('n', 'A', 'm', 'o', '?', 'A', 'd', 'e', 'l', 'A', 't')",نامُعاَدِلات,,,,,False,,
خروس‌جنگی,"('x', 'u', 'r', 'u', 's', 'j', 'a', 'n', 'g', 'i')",خُروس‌جَنگی,,,,,False,,
قاصر,"('q', 'A', 's', 'e', 'r')",قاصِر,,,,,False,,
کله‌پوک,"('k', 'a', 'l', 'l', 'e', 'p', 'u', 'k')",کَلِّه‌پوک,,,,,False,,
نشست,"('n', 'a', 'S', 'o', 's', 't')",نَشُست,,,,,False,,
ارسلان,"('?', 'a', 'r', 's', 'a', 'l', 'A', 'n')",اَرسَلان,,,,,False,,
قابلیت,"('q', 'A', 'b', 'e', 'l', 'i', 'y', 'y', 'a', 't')",قابِلیَّت,,,,,False,,
اسوشیتس,"('?', 'A', 's', 'o', 'S', 'e', 'y', 't', 'e', 's')",اَسوشِیتِس,,,,,False,,
مکلف,"('m', 'o', 'k', 'a', 'l', 'l', 'a', 'f')",مُکَلَّف,,,,,False,,
دیژیتالی,"('d', 'i', 'Z', 'i', 't', 'A', 'l', 'i')",دیژیتالی,,,,,False,,
نفع‌طلبانه,"('n', 'a', 'f', '?', 't', 'a', 'l', 'a', 'b', 'A', 'n', 'e')",نَفع‌طَلَبانِه,,,,,False,,
سوئیچ,"('s', 'u', '?', 'i', 'C')",سوئیچ,,,,,False,,
شمول,"('S', 'o', 'm', 'u', 'l')",شُمول,,,,,False,,
سه‌پشته,"('s', 'e', 'p', 'o', 'S', 't', 'e')",سِه‌پُشتِه,,,,,False,,
اصطبل,"('?', 'e', 's', 't', 'a', 'b', 'l')",اِصطَبل,,,,,False,,
انفکسیون,"('?', 'a', 'n', 'f', 'e', 'k', 's', 'i', 'y', 'o', 'n')",اَنفِکسیون,6,,,,False,,
تک‌ماده,"('t', 'a', 'k', 'm', 'A', 'd', 'd', 'e')",تَک‌مادِّه,,,,,False,,
مجدنیا,"('m', 'a', 'j', 'd', 'n', 'i', 'y', 'A')",مَجدنیا,,,7,,False,,
پاک‌وش,"('p', 'A', 'k', 'v', 'a', 'S')",پاک‌وَش,,,,,False,,
تابان‌نیرو,"('t', 'A', 'b', 'A', 'n', 'n', 'i', 'r', 'u')",تابانِ‌نُیرو,,,,,False,,
قابل‌‌تعقیب,"('q', 'A', 'b', 'e', 'l', 'e', 't', 'a', '?', 'q', 'i', 'b')",قابِلِ‌‌تَعقیب,,,,,False,,
مزرعه‌دار,"('m', 'a', 'z', 'r', 'a', '?', 'e', 'd', 'A', 'r')",مَزرَعِه‌دار,,,8,6,False,,
مریمی,"('m', 'a', 'r', 'y', 'a', 'm', 'i')",مَریَمی,,,,,False,,
رودرروئی,"('r', 'u', 'd', 'a', 'r', 'r', 'u', '?', 'i')",رودَرُرِوئی,,,,,False,,
پنسیلوانیا,"('p', 'e', 'n', 's', 'e', 'l', 'v', 'A', 'n', 'i', 'y', 'A')",پِنسِیلوانیا,,5,11,,False,,
جت,"('j', 'e', 't')",جِت,,,,,False,,
دمبک,"('d', 'o', 'm', 'b', 'a', 'k')",دُمبَک,,,,,False,,
تصریح,"('t', 'a', 's', 'r', 'i', 'h')",تَصریح,,,,,False,,
بوداده,"('b', 'u', 'd', 'A', 'd', 'e')",بودادِه,,,,,False,,
هری,"('h', 'e', 'r', 'r', 'i')",هِرّی,,,,,False,,
متساوی‌الساقین,"('m', 'o', 't', 'e', 's', 'A', 'v', 'i', 'y', 'o', 's', 's', 'A', 'q', 'e', 'y', 'n')",مُتِساوی‌اُلسّاقِین,,,,,False,,
سیم‌فام,"('s', 'i', 'm', 'f', 'A', 'm')",سیم‌فام,,,,,False,,
آدینه,"('?', 'A', 'd', 'i', 'n', 'e')",آدینِه,,,,,False,,
ستاره‌باران,"('s', 'e', 't', 'A', 'r', 'e', 'b', 'A', 'r', 'A', 'n')",سِتارِه‌باران,,,7,6,False,,
الویری,"('?', 'a', 'l', 'v', 'i', 'r', 'i')",اَلویری,,,,,False,,
چنگیزخان,"('C', 'a', 'n', 'g', 'i', 'z', 'x', 'A', 'n')",چَنگیزخان,,,,,False,,
الفماری,"('?', 'a', 'l', 'e', 'f', 'm', 'A', 'r', 'i')",اَلِفماری,,,,,False,,
کهن‌حلقویان,"('k', 'o', 'h', 'a', 'n', 'h', 'a', 'l', 'q', 'a', 'v', 'i', 'y', 'A', 'n')",کُهَن‌حَلقَویان,,,13,10,False,,
بیضوی,"('b', 'e', 'y', 'z', 'a', 'v', 'i')",بِیضَوی,,,,,False,,
دربان,"('d', 'a', 'r', 'b', 'A', 'n')",دَربان,,,,,False,,
سکولار,"('s', 'e', 'k', 'o', 'l', 'A', 'r')",سِکولار,2,,,,False,,
باشی‌زاده,"('b', 'A', 'S', 'i', 'z', 'A', 'd', 'e')",باشی‌زادِه,,,,,False,,
تعبیری,"('t', 'a', '?', 'b', 'i', 'r', 'i')",تَعبیری,,,,,False,,
میرزاغفور,"('m', 'i', 'r', 'z', 'A', 'q', 'a', 'f', 'u', 'r')",میرزاغَفور,,,,,False,,
بهرامیان,"('b', 'a', 'h', 'r', 'A', 'm', 'i', 'y', 'A', 'n')",بَهرامیان,,,8,7,False,,
هرقدر,"('h', 'a', 'r', 'q', 'a', 'd', 'r')",هَرقَدر,,,,,False,,
فالگوش‌‌نشینی,"('f', 'A', 'l', 'g', 'u', 'S', 'n', 'e', 'S', 'i', 'n', 'i')",فالگوش‌‌نِشینی,,,,,False,,
واقع‌گریز,"('v', 'A', 'q', 'e', '?', 'g', 'o', 'r', 'i', 'z')",واقِع‌گُریز,,,,,False,,
بسیط,"('b', 'a', 's', 'i', 't')",بَسیط,,,,,False,,
آق‌قویونلو,"('?', 'A', 'q', 'q', 'o', 'y', 'u', 'n', 'l', 'u')",آقُ‌قویونلو,,,,,False,,
اسپرت,"('?', 'e', 's', 'p', 'o', 'r', 't')",اِسپُرت,,,,,False,,
آبرودار,"('?', 'A', 'b', 'r', 'u', 'd', 'A', 'r')",آبرودار,,,,,False,,
السامرائی,"('?', 'a', 's', 's', 'A', 'm', 'e', 'r', 'A', '?', 'i')",اَلسّامِرائی,,,,,False,,
آلمان‌نشین,"('?', 'A', 'l', 'm', 'A', 'n', 'n', 'e', 'S', 'i', 'n')",آلمانِ‌نِشین,,,,,False,,
فدرال,"('f', 'e', 'd', 'e', 'r', 'A', 'l')",فِدِرال,,,,,False,,
استحکام‌بخشی,"('?', 'e', 's', 't', 'e', 'h', 'k', 'A', 'm', 'b', 'a', 'x', 'S', 'i')",اِستِحکام‌بَخشی,,,,,False,,
آکریلونیتریل,"('?', 'A', 'k', 'r', 'i', 'l', 'o', 'n', 'i', 't', 'r', 'i', 'l')",آکریلونیتریل,5,,,,False,,
امتیازدهی,"('?', 'e', 'm', 't', 'i', 'y', 'A', 'z', 'd', 'e', 'h', 'i')",اِمتیازدِهی,,,6,5,False,,
تفننی,"('t', 'a', 'f', 'a', 'n', 'n', 'o', 'n', 'i')",تَفَنُّنی,,,,,False,,
عنان‌‌گسیخته,"('?', 'e', 'n', 'A', 'n', 'g', 'o', 's', 'i', 'x', 't', 'e')",عِنان‌‌گُسیختِه,,,,,False,,
کمتاران,"('k', 'a', 'm', 't', 'A', 'r', 'A', 'n')",کَمتاران,,,,,False,,
کارون,"('k', 'A', 'r', 'u', 'n')",کارون,,,,,False,,
ممیزی,"('m', 'o', 'm', 'a', 'y', 'y', 'e', 'z', 'i')",مُمَیِّزی,,,,,False,,
کمالی‌‌نژاد,"('k', 'a', 'm', 'A', 'l', 'i', 'n', 'e', 'Z', 'A', 'd')",کَمالی‌‌نِژاد,,,,,False,,
فرا‌‌دست,"('f', 'a', 'r', 'A', 'd', 'a', 's', 't')",فَرا‌‌دَست,,,,,False,,
عباس‌قلی,"('?', 'a', 'b', 'b', 'A', 's', 'q', 'o', 'l', 'i')",عَباس‌قُلی,,,4,3,False,,
اعجازبرانگیز,"('?', 'e', '?', 'j', 'A', 'z', 'b', 'a', 'r', 'a', 'n', 'g', 'i', 'z')",اِعجازبَراَنگیز,,,,,False,,
پارسونز,"('p', 'A', 'r', 's', 'o', 'n', 'z')",پارسونز,4,,,,False,,
کلیه‌‌درد,"('k', 'o', 'l', 'y', 'e', 'd', 'a', 'r', 'd')",کُلیِه‌‌دَرد,,,,,False,,
نزاری,"('n', 'a', 'z', 'A', 'r', 'i')",نَزاری,,,,,False,,
هیدروکربن,"('h', 'i', 'd', 'r', 'o', 'k', 'a', 'r', 'b', 'o', 'n')",هیدروکَربُن,,,,,False,,
انصاری‌پور,"('?', 'a', 'n', 's', 'A', 'r', 'i', 'p', 'u', 'r')",اَنصاری‌پور,,,,,False,,
فلاح‌‌نیا,"('f', 'a', 'l', 'l', 'A', 'h', 'n', 'i', 'y', 'A')",فَلاح‌‌نیا,,,"4,9",3,False,,
بهت‌انگیز,"('b', 'o', 'h', 't', 'a', 'n', 'g', 'i', 'z')",بُهت‌اَنگیز,,,,,False,,
فراز,"('f', 'a', 'r', 'A', 'z')",فَراز,,,,,False,,
ساخارین,"('s', 'A', 'x', 'A', 'r', 'i', 'n')",ساخارین,,,,,False,,
شرع,"('S', 'a', 'r', '?')",شَرع,,,,,False,,
کوره‌‌اردشیر,"('k', 'u', 'r', 'e', '?', 'a', 'r', 'd', 'e', 'S', 'i', 'r')",کورِه‌‌اَردِشیر,,,,,False,,
خاتم‌بخش,"('x', 'A', 't', 'a', 'm', 'b', 'a', 'x', 'S')",خاتَم‌بَخش,,,,,False,,
طمع‌‌کار,"('t', 'a', 'm', 'a', '?', 'k', 'A', 'r')",طَمَع‌‌کار,,,,,False,,
عمرانیان,"('?', 'o', 'm', 'r', 'A', 'n', 'i', 'y', 'A', 'n')",عُمرانیان,,,8,7,False,,
آنوش,"('?', 'A', 'n', 'u', 'S')",آنوش,,,,,False,,
نگران‌کننده,"('n', 'e', 'g', 'a', 'r', 'A', 'n', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",نِگَران‌کُنَندِه,,,,,False,,
فعلید,"('f', 'e', '?', 'l', 'i', 'd')",فِعلید,,,,,False,,
تاکسیدرمی,"('t', 'A', 'k', 's', 'i', 'd', 'e', 'r', 'm', 'i')",تاکسیدِرمی,,,,,False,,
گیپوربافی,"('g', 'i', 'p', 'u', 'r', 'b', 'A', 'f', 'i')",گیپوربافی,,,,,False,,
روبنائی,"('r', 'u', 'b', 'a', 'n', 'A', '?', 'i')",روبَنائی,,,,,False,,
میان‌برنامه,"('m', 'i', 'y', 'A', 'n', 'b', 'a', 'r', 'n', 'A', 'm', 'e')",میان‌بَرنامِه,,,3,3,False,,
حقشناس,"('h', 'a', 'q', 'S', 'e', 'n', 'A', 's')",حَقشِناس,,,,,False,,
بستر‌ساز,"('b', 'a', 's', 't', 'a', 'r', 's', 'A', 'z')",بَستَر‌ساز,,,,,False,,
زیروبمی,"('z', 'i', 'r', 'o', 'b', 'a', 'm', 'i')",زیروبَمی,,,,,False,,
بامبول,"('b', 'A', 'm', 'b', 'u', 'l')",بامبول,,,,,False,,
مالیخولیائی,"('m', 'A', 'l', 'i', 'x', 'u', 'l', 'i', 'y', 'A', '?', 'i')",مالیخولیائی,,,9,9,False,,
مامیران,"('m', 'A', 'm', 'i', 'r', 'A', 'n')",مامیران,,,,,False,,
آپارات,"('?', 'A', 'p', 'A', 'r', 'A', 't')",آپارات,,,,,False,,
